Y
4110
16494
5177
23338
20698
20339
19782
19529
19604
6599
24552
21061
16855
21423
25488
24245
7803
15077
21233
19955
21378
26476
26781
8263
21533
19383
22111
25527
30095
29011
7435
26995
22911
26380
26276
32858
28605
8730
24690
25868
22463
24777
32113
33631
9855
20783
25706
24814
26478
34069
30627
8375
27927
20930
26878
27446
31678
33698
10762
27611
25505
27410
27003
30422
30941
9982
25967
23557
24087
24401
30777
31514
9972
25679
24686
23661
23987
30229
30136
10662
24424
24227
23657
24022
29899
28728
9769
24382
22839
22947
28669
31446
23635
2598
24814
22922
21356
22289
27055
24981
9220
21921
20029
21047
23363
27542
25100
7939
21233
21902
20965
22542
26429
24142
7540
21391
22410
21486
21895
28851
24692
8330
24383
22054
21299
21989
25141
19913
4736
20047
19075
19051
20307
25576
24085
7215
19476
19161
19487
20096
25897
23513
7554
20735
20857
20097
21056
25373
16641
4405
4031
26204
19902
22258
23283
21537
6746
19786
19849
16960
20149
24184
20902
6735
19367
19692
19002
21003
25870
23633
6268
19818
18848
17665
18403
25161
22431
6844
18464
19153
19376
22786
27575
17966
2567
7955
20147
18194
19583
23532
21542
7823
12007
21157
19609
20210
26670
27166
7730
21222
20992
19068
21304
23641
22365
7428
19505
20703
14498
22087
27957
24487
6555
21355
21374
22638
21376
30269
25105
8566
21732
17243
26916
23971
29025
28800
9405
23522
22970
22419
25230
30129
30044
10479
24572
25401
24713
25003
31103
21455
13907
29782
28335
14698
38894
39825
32908
11020
10520
28025
26195
27822
34700
32473
13243
28511
26004
26225
26826
35647
33465
11478
27852
22865
29582
28735
35936
35170
12805
28857
28245
28150
31951
41922
37346
14882
32994
28534
26331
30035
39331
38145
13802
26426
29552
32412
31263
42292
37091
14335
30150
28078
30997
29712
43048
36403
15204
31027
28857
28573
32001
41164
39499
14295
35694
34248
34532
36348
43682
41729
17821
34775
34830
34478
32176
48665
44865
22655
34523
35202
31835
36176
44824
41018
15881
32309
32647
43364
2576
49797
34705
13980
28042
30956
34860
36142
46059
36373
17884
37501
37944
30530
41052
51818
56513
21088
39984
41304
44160
47188
55987
58443
26328
49873
47773
57265
67983
48319
0
13428
38062
36882
41352
50725
40534
7386
6481
27155
26427
24071
24116
29819
26722
9454
21618
21965
20943
22116
27336
25760
8607
15194
21717
19631
21900
26867
25803
8058
20930
19425
19849
22674
27761
28310
7177
24700
23868
29372
28705
33826
33261
10630
26453
24941
22986
26160
31348
31895
10200
24230
24804
22969
25379
22826
